group,filter,week,unique_users,new_users,cumulative_users
VPN,Unmatched,2024-02-27,3297,1231,132909
VPN,Unmatched,2024-03-05,3125,1161,134070
VPN,Unmatched,2024-03-12,3288,1333,135403
VPN,Unmatched,2024-03-19,3032,1168,136571
VPN,Unmatched,2024-03-26,3187,1202,137773
VPN,Unmatched,2024-04-02,3202,1175,138948
VPN,Unmatched,2024-04-09,3521,1314,140262
VPN,Unmatched,2024-04-16,3647,1405,141667
VPN,Unmatched,2024-04-23,3491,1267,142934
VPN,Unmatched,2024-04-30,3082,1040,143974
VPN,Unmatched,2024-05-07,2896,1049,145023
VPN,Unmatched,2024-05-14,2913,1014,146037
VPN,Unmatched,2024-05-21,3844,1605,147642
VPN,Unmatched,2024-05-28,3258,1291,148933
VPN,Unmatched,2024-06-04,3213,1147,150080
VPN,Unmatched,2024-06-11,3477,1295,151375
VPN,Unmatched,2024-06-18,3165,1136,152511
VPN,Unmatched,2024-06-25,3345,1156,153667
VPN,Unmatched,2024-07-02,3472,1265,154932
VPN,Unmatched,2024-07-09,3198,1131,156063
VPN,Unmatched,2024-07-16,3450,1316,157379
VPN,Unmatched,2024-07-23,3565,1257,158636
VPN,Unmatched,2024-07-30,3935,1469,160105
VPN,Unmatched,2024-08-06,3943,1461,161566
VPN,Unmatched,2024-08-13,3640,1375,162941
VPN,Unmatched,2024-08-20,3668,1273,164214
VPN,Unmatched,2024-08-27,3774,1378,165592
VPN,Unmatched,2024-09-03,3936,1401,166993
VPN,Unmatched,2024-09-10,3812,1382,168375
VPN,Unmatched,2024-09-17,4027,1519,169894
VPN,Unmatched,2024-09-24,4210,1485,171379
VPN,Unmatched,2024-10-01,4008,1371,172750
VPN,Unmatched,2024-10-08,3679,1280,174030
VPN,Unmatched,2024-10-15,3552,1247,175277
VPN,Unmatched,2024-10-22,3462,1276,176553
VPN,Unmatched,2024-10-29,3288,1114,177667
VPN,Unmatched,2024-11-05,3403,1186,178853
VPN,Unmatched,2024-11-12,3235,1264,180117
VPN,Unmatched,2024-11-19,3199,1144,181261
VPN,Unmatched,2024-11-26,2895,1027,182288
